sku	title	brand_sku	brand	model	type	color	diameter	pn	pcd	pcd2	et	centerbore	sale	price	price_retail	photo_url	amount_total	amount_local	amount shopId 1	amount shopId 4	amount shopId 7	amount shopId 8	amount shopId 9	amount shopId 10	amount shopId 12	amount shopId 13	amount shopId 14	amount shopId 15	amount shopId 16	amount shopId 17	amount shopId 19	amount shopId 20	amount shopId 21	amount shopId 22	amount shopId 23	amount shopId 24	amount shopId 25	amount shopId 26	amount shopId 30	amount shopId 33	amount shopId 35	amount shopId 36	amount shopId 37	amount shopId 635	amount shopId 667	amount shopId 669	amount shopId 671	amount shopId 678	amount shopId 712	amount shopId 714	amount shopId 716	amount shopId 718	amount shopId 719	amount shopId 722	amount shopId 723	amount shopId 3012
862927	Dezent TY 18 / 7.5J PCD 5x112.0 ET 38.00 ЦО 70.10 Литой / Серебристый	TTYF8SA38	Dezent	TY	Литой / Серебристый	S	18 / 7.5J	5	112.0	0.0	38.00	70.10	0	10150	11370	https://www.shinservice.ru/catalog/disk/dezent/TY.s.jpg	8	8	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
862929	Dezent TY graphite 18 / 8.0J PCD 5x112.0 ET 35.00 ЦО 70.10 Литой / Графитовый матовый	TTYG8GA35	Dezent	TY graphite	Литой / Графитовый матовый	Grap_Matt	18 / 8.0J	5	112.0	0.0	35.00	70.10	0	10575	11850	https://www.shinservice.ru/catalog/disk/dezent/TY_graphite.grap_matt.jpg	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863036	Dezent Van dark 16 / 6.5J PCD 5x130.0 ET 60.00 ЦО 89.10 Литой / Черный с полированной лицевой поверхностью	TVAZLBP60	Dezent	Van dark	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.5J	5	130.0	0.0	60.00	89.10	0	9205	10310	https://www.shinservice.ru/catalog/disk/dezent/Van_dark.bfp.jpg	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863037	Dezent Van dark 16 / 6.5J PCD 5x130.0 ET 68.00 ЦО 78.10 Литой / Черный с полированной лицевой поверхностью	TVAZLBP68	Dezent	Van dark	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.5J	5	130.0	0.0	68.00	78.10	0	9205	10310	https://www.shinservice.ru/catalog/disk/dezent/Van_dark.bfp.jpg	20	20	4	0	0	0	0	0	0	8	0	4	4	0	0	0	4	0	4	0	4	0	0	0	0	0	4	4	4	0	0	4	0	0	0	0	4	0	0	0
863038	Dezent Van dark 16 / 6.5J PCD 5x160.0 ET 60.00 ЦО 65.10 Литой / Черный с полированной лицевой поверхностью	TVAZRBP60	Dezent	Van dark	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.5J	5	160.0	0.0	60.00	65.10	0	9205	10310	https://www.shinservice.ru/catalog/disk/dezent/Van_dark.bfp.jpg	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863039	Dezent TG dark 16 / 6.5J PCD 5x112.0 ET 38.00 ЦО 66.60 Литой / Черный с полированной лицевой поверхностью	TTGZ8BP38E	Dezent	TG dark	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.5J	5	112.0	0.0	38.00	66.60	0	8259	9250	https://www.shinservice.ru/catalog/disk/dezent/TG_dark.bfp.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
863040	Dezent TG dark 16 / 6.5J PCD 5x112.0 ET 49.00 ЦО 66.60 Литой / Черный с полированной лицевой поверхностью	TTGZ8BP49E	Dezent	TG dark	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.5J	5	112.0	0.0	49.00	66.60	0	8259	9250	https://www.shinservice.ru/catalog/disk/dezent/TG_dark.bfp.jpg	16	16	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0
863047	Dotz Kendo 16 / 7.0J PCD 5x112.0 ET 48.00 ЦО 70.10 Литой / Черный с полированной лицевой поверхностью	OKEP8BP48	Dotz	Kendo	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 7.0J	5	112.0	0.0	48.00	70.10	0	8941	10010	https://www.shinservice.ru/catalog/disk/dotz/Kendo.bfp.jpg	4	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863051	ALCAR HYBRIDRAD 131201 15 / 6.0J PCD 5x112.0 ET 43.00 ЦО 57.10 Стальной / Серебристый	131201	ALCAR HYBRIDRAD	131201	Стальной / Серебристый	S	15 / 6.0J	5	112.0	0.0	43.00	57.10	0	4645	5200	https://www.shinservice.ru/catalog/disk/alcar_hybridrad/131201.s.jpg	6	6	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863268	Dezent TH dark 19 / 8.5J PCD 5x120.0 ET 35.00 ЦО 72.60 Литой / Черный с полированной лицевой поверхностью	TTH9L9BP35	Dezent	TH dark	Литой / Черный с полированной лицевой поверхностью	BFP	19 / 8.5J	5	120.0	0.0	35.00	72.60	0	12707	14230	https://www.shinservice.ru/catalog/disk/dezent/TH_dark.bfp.jpg	4	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
863270	Dezent TH dark 20 / 9.0J PCD 5x108.0 ET 40.00 ЦО 70.10 Литой / Черный с полированной лицевой поверхностью	TTH0MHBP40	Dezent	TH dark	Литой / Черный с полированной лицевой поверхностью	BFP	20 / 9.0J	5	108.0	0.0	40.00	70.10	0	18846	21100	https://www.shinservice.ru/catalog/disk/dezent/TH_dark.bfp.jpg	12	12	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
